stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
4,Torino Rossetto,45.479889,12.250535,4,,48,,,,,,,,,,,,
5,Torino Universita',45.478184,12.253569,5,,48,,,,,,,,,,,,
7,Paganello Ticozzi,45.477222,12.250363,7,,48,,,,,,,,,,,,
8,Ca' Marcello Rossetto,45.478947,12.246139,8,,48,,,,,,,,,,,,
9,Ca' Marcello Cappuccina,45.481762,12.237450,9,,48,,,,,,,,,,,,
10,Gozzi Cappuccina,45.484650,12.237596,10,,48,,,,,,,,,,,,
11,Corso del Popolo Torino,45.484554,12.241225,11,,48,,,,,,,,,,,,
12,Corso del Popolo Milano,45.487968,12.243096,12,,48,,,,,,,,,,,,
13,Corso del Popolo Mestrina,45.490459,12.244670,13,,48,,,,,,,,,,,,
16,Stra Fossolovara,45.411095,12.005065,16,,28,,,,,,,,,,,,
17,Castellana Santa Chiara,45.498600,12.231609,17,,48,,,,,,,,,,,,
18,Carducci Pascoli,45.490864,12.240148,18,,48,,,,,,,,,,,,
19,San Marco Raffaello,45.329823,12.126707,19,,8,,,,,,,,,,,,
24,Trento Fagare',45.483540,12.228405,24,,48,,,,,,,,,,,,
25,Trento Podgora,45.486347,12.224987,25,,48,,,,,,,,,,,,
26,Trento Gazzera Alta,45.489792,12.223590,26,,48,,,,,,,,,,,,
27,Olmo Vittorio Veneto,45.518593,12.190710,27,,18,,,,,,,,,,,,
28,Gatta Santa Lucia,45.535091,12.207423,28,,48,,,,,,,,,,,,
29,Miranese Avanti,45.484657,12.194234,29,,48,,,,,,,,,,,,
30,Miranese Ivancich,45.484837,12.197288,30,,48,,,,,,,,,,,,
31,Miranese Pergine,45.485012,12.202356,31,,48,,,,,,,,,,,,
32,Miranese Piemonte,45.485016,12.208702,32,,48,,,,,,,,,,,,
33,Miranese Lazio,45.485287,12.211903,33,,48,,,,,,,,,,,,
34,Miranese Calucci,45.485512,12.215056,34,,48,,,,,,,,,,,,
35,Miranese Giustizia,45.486298,12.220907,35,,48,,,,,,,,,,,,
36,Miranese Monteverdi,45.490513,12.225891,36,,48,,,,,,,,,,,,
37,Miranese Vivaldi,45.492104,12.230068,37,,48,,,,,,,,,,,,
38,Carducci Felisati,45.491543,12.237827,38,,48,,,,,,,,,,,,
39,Piave Puccini,45.490917,12.235608,39,,48,,,,,,,,,,,,
40,Piave Fiume,45.487278,12.234235,40,,48,,,,,,,,,,,,
42,Piave Podgora,45.485153,12.233406,42,,48,,,,,,,,,,,,
43,Brendole,45.499485,12.213419,43,,48,,,,,,,,,,,,
44,Brendole Stignano,45.499374,12.214437,44,,48,,,,,,,,,,,,
45,Brendole Promontore,45.499008,12.216305,45,,48,,,,,,,,,,,,
46,Brendole Arsa,45.496742,12.219508,46,,48,,,,,,,,,,,,
48,Asseggiano Da Todi,45.496372,12.185871,48,,48,,,,,,,,,,,,
49,Asseggiano Euganea,45.495369,12.190020,49,,48,,,,,,,,,,,,
50,Asseggiano Marzabotto,45.494030,12.195753,50,,48,,,,,,,,,,,,
51,Asseggiano Pendini,45.493313,12.201653,51,,48,,,,,,,,,,,,
52,Asseggiano Volta,45.492783,12.208499,52,,48,,,,,,,,,,,,
53,Asseggiano Morin,45.492962,12.213514,53,,48,,,,,,,,,,,,
54,Asseggiano Pirano,45.494923,12.217203,54,,48,,,,,,,,,,,,
55,Gazzera Alta Volpi,45.494141,12.219450,55,,48,,,,,,,,,,,,
56,Quarnaro Calucci,45.492344,12.218122,56,,48,,,,,,,,,,,,
57,Calucci Lussingrande,45.489182,12.216783,57,,48,,,,,,,,,,,,
58,Calucci Cimetto,45.486149,12.216161,58,,48,,,,,,,,,,,,
59,Ca' Lin Castellana,45.530346,12.188085,59,,48,,,,,,,,,,,,
60,Ca' Lin Pitagora,45.532700,12.190220,60,,48,,,,,,,,,,,,
61,Ca' Lin Gatta,45.537193,12.191074,61,,48,,,,,,,,,,,,
62,Maerne Mulino,45.530251,12.152858,62,,18,,,,,,,,,,,,
63,Gatta Protagora,45.537636,12.193981,63,,48,,,,,,,,,,,,
64,GATTA IMMACOLATA,45.535576,12.204817,64,,48,,,,,,,,,,,,
65,Gatta Santa Lucia,45.534821,12.207663,65,,48,,,,,,,,,,,,
66,GATTA 90,45.534286,12.214073,66,,48,,,,,,,,,,,,
67,Gatta Scaramuzza,45.533768,12.218773,67,,48,,,,,,,,,,,,
68,Gatta Scarante,45.533768,12.222993,68,,48,,,,,,,,,,,,
69,Gatta Verci,45.533726,12.225893,69,,48,,,,,,,,,,,,
70,Gatta Pisacane,45.535446,12.236670,70,,48,,,,,,,,,,,,
71,Gatta Terraglio,45.535629,12.238614,71,,48,,,,,,,,,,,,
72,Terraglio Gatta,45.534946,12.239348,72,,48,,,,,,,,,,,,
73,Terraglio Nigra,45.531113,12.239121,73,,48,,,,,,,,,,,,
74,Terraglio Ca' Sagredo,45.527046,12.238872,74,,48,,,,,,,,,,,,
75,Terraglio Favorita,45.525131,12.238734,75,,48,,,,,,,,,,,,
76,Terraglio Terraglietto,45.518074,12.238483,76,,48,,,,,,,,,,,,
77,Terraglio Villa Salus,45.512623,12.238324,77,,48,,,,,,,,,,,,
78,Terraglio Borgo Pezzana,45.508873,12.238313,78,,48,,,,,,,,,,,,
79,Terraglio Peschiera,45.505180,12.237996,79,,48,,,,,,,,,,,,
80,Terraglio Teano,45.501686,12.237666,80,,48,,,,,,,,,,,,
81,Einaudi Castelvecchio,45.496544,12.239015,81,,48,,,,,,,,,,,,
82,Belfredo Terraglio,45.497818,12.238463,82,,48,,,,,,,,,,,,
83,Martellago Delle Motte,45.541790,12.154077,83,,18,,,,,,,,,,,,
84,San Rocco Bruno,45.495411,12.242478,84,,48,,,,,,,,,,,,
86,Mattuglie Dignano,45.490616,12.215822,86,,48,,,,,,,,,,,,
87,Martellago Pree,45.538158,12.175729,87,,18,,,,,,,,,,,,
